topic,cluster_id,cluster_label,cluster_description
gender ideology,3,Social Rights & Equality within the EU,"Focuses on safeguarding social rights, promoting equality, ensuring access to essential services, and protecting vulnerable groups within the European Union."
healthy food access,3,Social Rights & Equality within the EU,"Focuses on safeguarding social rights, promoting equality, ensuring access to essential services, and protecting vulnerable groups within the European Union."
istanbul convention,3,Social Rights & Equality within the EU,"Focuses on safeguarding social rights, promoting equality, ensuring access to essential services, and protecting vulnerable groups within the European Union."
lgbtq+ rights,3,Social Rights & Equality within the EU,"Focuses on safeguarding social rights, promoting equality, ensuring access to essential services, and protecting vulnerable groups within the European Union."
minimum income,3,Social Rights & Equality within the EU,"Focuses on safeguarding social rights, promoting equality, ensuring access to essential services, and protecting vulnerable groups within the European Union."
minority rights,3,Social Rights & Equality within the EU,"Focuses on safeguarding social rights, promoting equality, ensuring access to essential services, and protecting vulnerable groups within the European Union."
poverty,3,Social Rights & Equality within the EU,"Focuses on safeguarding social rights, promoting equality, ensuring access to essential services, and protecting vulnerable groups within the European Union."
social rights,3,Social Rights & Equality within the EU,"Focuses on safeguarding social rights, promoting equality, ensuring access to essential services, and protecting vulnerable groups within the European Union."
working time directive,3,Social Rights & Equality within the EU,"Focuses on safeguarding social rights, promoting equality, ensuring access to essential services, and protecting vulnerable groups within the European Union."
abolition of political rights in venezuela,4,Global Human Rights & Democracy,"Addresses the EU's external role in promoting human rights, democracy, and rule of law in third countries, and responding to specific international human rights crises."
alexei navalny,4,Global Human Rights & Democracy,"Addresses the EU's external role in promoting human rights, democracy, and rule of law in third countries, and responding to specific international human rights crises."
blasphemy laws,4,Global Human Rights & Democracy,"Addresses the EU's external role in promoting human rights, democracy, and rule of law in third countries, and responding to specific international human rights crises."
children deported from ukraine,4,Global Human Rights & Democracy,"Addresses the EU's external role in promoting human rights, democracy, and rule of law in third countries, and responding to specific international human rights crises."
freedom of expression,4,Global Human Rights & Democracy,"Addresses the EU's external role in promoting human rights, democracy, and rule of law in third countries, and responding to specific international human rights crises."
guatemala,4,Global Human Rights & Democracy,"Addresses the EU's external role in promoting human rights, democracy, and rule of law in third countries, and responding to specific international human rights crises."
human rights,4,Global Human Rights & Democracy,"Addresses the EU's external role in promoting human rights, democracy, and rule of law in third countries, and responding to specific international human rights crises."
human rights abuses,4,Global Human Rights & Democracy,"Addresses the EU's external role in promoting human rights, democracy, and rule of law in third countries, and responding to specific international human rights crises."
human rights in azerbaijan,4,Global Human Rights & Democracy,"Addresses the EU's external role in promoting human rights, democracy, and rule of law in third countries, and responding to specific international human rights crises."
iran protests,4,Global Human Rights & Democracy,"Addresses the EU's external role in promoting human rights, democracy, and rule of law in third countries, and responding to specific international human rights crises."
julian assange,4,Global Human Rights & Democracy,"Addresses the EU's external role in promoting human rights, democracy, and rule of law in third countries, and responding to specific international human rights crises."
peru political crisis,4,Global Human Rights & Democracy,"Addresses the EU's external role in promoting human rights, democracy, and rule of law in third countries, and responding to specific international human rights crises."
press freedom in algeria,4,Global Human Rights & Democracy,"Addresses the EU's external role in promoting human rights, democracy, and rule of law in third countries, and responding to specific international human rights crises."
situation in sudan,4,Global Human Rights & Democracy,"Addresses the EU's external role in promoting human rights, democracy, and rule of law in third countries, and responding to specific international human rights crises."
strengthening democracy,4,Global Human Rights & Democracy,"Addresses the EU's external role in promoting human rights, democracy, and rule of law in third countries, and responding to specific international human rights crises."
asylum migration,5,Migration & Asylum Policy,"Encompasses the management of migration flows, asylum procedures, integration policies, and related agreements with third countries."
eu-tunisia agreement,5,Migration & Asylum Policy,"Encompasses the management of migration flows, asylum procedures, integration policies, and related agreements with third countries."
maritime search and rescue,5,Migration & Asylum Policy,"Encompasses the management of migration flows, asylum procedures, integration policies, and related agreements with third countries."
migration,5,Migration & Asylum Policy,"Encompasses the management of migration flows, asylum procedures, integration policies, and related agreements with third countries."
migration management,5,Migration & Asylum Policy,"Encompasses the management of migration flows, asylum procedures, integration policies, and related agreements with third countries."
migration policy,5,Migration & Asylum Policy,"Encompasses the management of migration flows, asylum procedures, integration policies, and related agreements with third countries."
migration pressure,5,Migration & Asylum Policy,"Encompasses the management of migration flows, asylum procedures, integration policies, and related agreements with third countries."
china policy,6,"Foreign Policy, Defence & Geopolitics","Deals with the EU's external relations, strategic autonomy, defence capabilities, responses to international conflicts, and broader geopolitical strategies."
eu accession,6,"Foreign Policy, Defence & Geopolitics","Deals with the EU's external relations, strategic autonomy, defence capabilities, responses to international conflicts, and broader geopolitical strategies."
eu defence policy,6,"Foreign Policy, Defence & Geopolitics","Deals with the EU's external relations, strategic autonomy, defence capabilities, responses to international conflicts, and broader geopolitical strategies."
eu-azerbaijan relations,6,"Foreign Policy, Defence & Geopolitics","Deals with the EU's external relations, strategic autonomy, defence capabilities, responses to international conflicts, and broader geopolitical strategies."
eu-china relations,6,"Foreign Policy, Defence & Geopolitics","Deals with the EU's external relations, strategic autonomy, defence capabilities, responses to international conflicts, and broader geopolitical strategies."
european autonomy,6,"Foreign Policy, Defence & Geopolitics","Deals with the EU's external relations, strategic autonomy, defence capabilities, responses to international conflicts, and broader geopolitical strategies."
foreign interference,6,"Foreign Policy, Defence & Geopolitics","Deals with the EU's external relations, strategic autonomy, defence capabilities, responses to international conflicts, and broader geopolitical strategies."
nagorno-karabakh blockade,6,"Foreign Policy, Defence & Geopolitics","Deals with the EU's external relations, strategic autonomy, defence capabilities, responses to international conflicts, and broader geopolitical strategies."
political instrumentalization,6,"Foreign Policy, Defence & Geopolitics","Deals with the EU's external relations, strategic autonomy, defence capabilities, responses to international conflicts, and broader geopolitical strategies."
russia sanctions,6,"Foreign Policy, Defence & Geopolitics","Deals with the EU's external relations, strategic autonomy, defence capabilities, responses to international conflicts, and broader geopolitical strategies."
sending soldiers,6,"Foreign Policy, Defence & Geopolitics","Deals with the EU's external relations, strategic autonomy, defence capabilities, responses to international conflicts, and broader geopolitical strategies."
serbia-russia relations,6,"Foreign Policy, Defence & Geopolitics","Deals with the EU's external relations, strategic autonomy, defence capabilities, responses to international conflicts, and broader geopolitical strategies."
supply chain resilience,6,"Foreign Policy, Defence & Geopolitics","Deals with the EU's external relations, strategic autonomy, defence capabilities, responses to international conflicts, and broader geopolitical strategies."
trade agreement,6,"Foreign Policy, Defence & Geopolitics","Deals with the EU's external relations, strategic autonomy, defence capabilities, responses to international conflicts, and broader geopolitical strategies."
ukraine support,6,"Foreign Policy, Defence & Geopolitics","Deals with the EU's external relations, strategic autonomy, defence capabilities, responses to international conflicts, and broader geopolitical strategies."
ukrainian grain export,6,"Foreign Policy, Defence & Geopolitics","Deals with the EU's external relations, strategic autonomy, defence capabilities, responses to international conflicts, and broader geopolitical strategies."
western balkans,6,"Foreign Policy, Defence & Geopolitics","Deals with the EU's external relations, strategic autonomy, defence capabilities, responses to international conflicts, and broader geopolitical strategies."
antimicrobial resistance,7,Health & Crisis Preparedness,"Covers public health challenges, emergency preparedness, and resilience against crises like pandemics and natural disasters."
covid-19 pandemic,7,Health & Crisis Preparedness,"Covers public health challenges, emergency preparedness, and resilience against crises like pandemics and natural disasters."
covid-19 response,7,Health & Crisis Preparedness,"Covers public health challenges, emergency preparedness, and resilience against crises like pandemics and natural disasters."
disaster prevention,7,Health & Crisis Preparedness,"Covers public health challenges, emergency preparedness, and resilience against crises like pandemics and natural disasters."
disaster resilience,7,Health & Crisis Preparedness,"Covers public health challenges, emergency preparedness, and resilience against crises like pandemics and natural disasters."
drug shortages,7,Health & Crisis Preparedness,"Covers public health challenges, emergency preparedness, and resilience against crises like pandemics and natural disasters."
ai regulation,8,"Digital, Industry & Agriculture","Focuses on regulating digital technologies, fostering industrial innovation, supporting agriculture, and ensuring critical raw material supply for key European sectors."
animal testing,8,"Digital, Industry & Agriculture","Focuses on regulating digital technologies, fostering industrial innovation, supporting agriculture, and ensuring critical raw material supply for key European sectors."
connectivity,8,"Digital, Industry & Agriculture","Focuses on regulating digital technologies, fostering industrial innovation, supporting agriculture, and ensuring critical raw material supply for key European sectors."
critical raw materials,8,"Digital, Industry & Agriculture","Focuses on regulating digital technologies, fostering industrial innovation, supporting agriculture, and ensuring critical raw material supply for key European sectors."
eu agricultural policies,8,"Digital, Industry & Agriculture","Focuses on regulating digital technologies, fostering industrial innovation, supporting agriculture, and ensuring critical raw material supply for key European sectors."
eu regulation,8,"Digital, Industry & Agriculture","Focuses on regulating digital technologies, fostering industrial innovation, supporting agriculture, and ensuring critical raw material supply for key European sectors."
european agriculture,8,"Digital, Industry & Agriculture","Focuses on regulating digital technologies, fostering industrial innovation, supporting agriculture, and ensuring critical raw material supply for key European sectors."
european battery industry,8,"Digital, Industry & Agriculture","Focuses on regulating digital technologies, fostering industrial innovation, supporting agriculture, and ensuring critical raw material supply for key European sectors."
european business committees,8,"Digital, Industry & Agriculture","Focuses on regulating digital technologies, fostering industrial innovation, supporting agriculture, and ensuring critical raw material supply for key European sectors."
european works councils,8,"Digital, Industry & Agriculture","Focuses on regulating digital technologies, fostering industrial innovation, supporting agriculture, and ensuring critical raw material supply for key European sectors."
geographical indications,8,"Digital, Industry & Agriculture","Focuses on regulating digital technologies, fostering industrial innovation, supporting agriculture, and ensuring critical raw material supply for key European sectors."
